1,48.387,54.189
2,47.385,47.888
3,64.043,10.534
4,49,17.578
5,45.96,66.957
6,62.102,44.745
7,42.303,72.736
8,54.097,46.571
9,26.992,77.013
10,29.668,72.528
11,89.209,35.436
12,50.358,78.428
13,43.847,27.114
14,79.843,69.021
15,87.208,38.597
16,54.631,50.92
17,40.904,12.955
18,54.602,58.264
19,47.097,44.401
20,77.58,68.721
21,33.285,13.332
22,35.8,46.888
23,48.404,20.276
24,26.959,63.22
25,30.849,61.945
26,56.764,46.195
27,41.589,27.243
28,70.708,41.757
29,73.668,41.797
30,41.229,21.615
31,64.723,73.601
32,68.685,59.346
33,78.457,49.259
34,76.052,57.656
35,50.651,49.544
36,40.212,31.376
37,52.447,95.062
38,19.367,62.648
39,18.044,48.762
40,47.036,75.483
41,56.549,69.904
42,24.156,62.656
43,20.66,82.36
44,56.617,72.102
45,41.688,98.035
46,67.055,14.153
47,57.567,43.698
48,59.842,74.126
49,62.064,10.261
50,76.687,60.366
51,54.554,53.061
52,59.923,55.847
53,48.16,55.435
54,79.263,47.399
55,60.443,47.413
56,36.64,39.624
57,43.548,57.079
58,25.485,62.701
59,11.321,47.178
60,60.467,32.238
61,49.622,48.343
62,34.005,60.873
63,44.897,77.473
64,50.516,70.083
65,51.645,48.277
66,41.052,58.922
67,41.67,35.235
68,43.751,45.29
69,51.977,65.741
70,46.772,89.48
71,34.613,55.537
72,53.07,40.517
73,46.585,47.062
74,28.652,47.252
75,63.448,64.413
76,50.001,23.604
77,74.551,48.873
78,21.904,53.442
79,48.476,53.292
80,50.114,49.241
81,53.765,63.364
82,78.814,58.975
83,59.094,90.102
84,83.884,57.622
85,46.326,42.729
86,16.488,77.531
87,43.374,54.717
88,42.62,58.371
89,29.124,69.414
90,44.965,26.516
91,67.942,25.204
92,79.118,50.518
93,89.5,52.486
94,64.442,47.142
95,69.67,77.682
96,52.534,84.07
97,12.873,46.426
98,21.116,68.91
99,42.298,49.721
100,59.105,60.631
101,49.657,58.319
102,67.496,46.267
103,46.61,59.815
104,35.095,60.365
105,31.06,68.325
106,71.371,47.446
107,13.084,43.297
108,52.786,77.749
109,35.616,48.453
110,74.919,52.567
111,56.231,49.187
112,12.7,46.763
113,52.704,58.268
114,76.372,37.688
115,48.005,48.863
116,44.605,46.015
