param capacity := 6;

param mdist : 0 1 2 3 4 5 6 7 8 9 :=
            0 0 5 5 5 5 5 5 5 5 5
            1 5 0 1 2 1 2 3 2 3 4
            2 5 1 0 1 2 1 2 3 2 3
            3 5 2 1 0 3 2 1 3 2 1
            4 5 1 2 3 0 1 2 1 2 3
            5 5 2 1 2 1 0 1 2 1 2
            6 5 3 2 1 2 1 0 3 2 1
            7 5 2 3 3 1 2 3 0 1 2
            8 5 3 2 2 2 1 2 1 0 1
            9 5 4 3 1 3 2 1 2 1 0;

param reach : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18:=
            0 0 0 0 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0
            1 1 1 1 0 0 1 1 0 0  0  0  1  0  0  0  0  1  0
            2 0 0 0 0 0 0 0 0 0  1  1  1  1  1  1  0  1  0
            3 0 0 1 1 1 1 1 1 1  0  0  0  0  0  0  0  0  1
            4 0 0 1 0 0 1 1 1 1  0  0  0  0  0  1  1  0  0
            5 0 0 0 0 0 0 0 0 0  0  0  1  1  1  0  1  0  0
            6 0 0 0 0 0 0 1 1 0  0  0  0  0  0  1  0  0  0
            7 0 0 0 0 0 0 0 0 1  0  0  0  0  0  0  1  0  0
            8 0 0 0 0 0 0 0 0 0  0  0  0  0  1  1  1  0  8
            9 0 0 0 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0;
